name	code	global_id	parent_id	local_id	level
La Réunion	FRY4	158	12	50	3
Mayotte	FRY5	159	12	50	3
Aττική (Attiki)	EL30	160	13	50	3
Βόρειο Αιγαίο (Voreio Aigaio)	EL41	161	13	50	3
Νότιο Αιγαίο (Notio Aigaio)	EL42	162	13	50	3
Κρήτη (Kriti)	EL43	163	13	50	3
Aνατολική Μακεδονία, Θράκη (Anatoliki Makedonia, Thraki)	EL51	164	13	50	3
Κεντρική Μακεδονία (Kentriki Makedonia)	EL52	165	13	50	3
Δυτική Μακεδονία (Dytiki Makedonia)	EL53	166	13	50	3
Ήπειρος (Ipeiros)	EL54	167	13	50	3
Θεσσαλία (Thessalia)	EL61	168	13	50	3
Ιόνια Νησιά (Ionia Nisia)	EL62	169	13	50	3
Δυτική Ελλάδα (Dytiki Ellada)	EL63	170	13	50	3
Στερεά Ελλάδα (Sterea Ellada)	EL64	171	13	50	3
Πελοπόννησος (Peloponnisos)	EL65	172	13	50	3
Jadranska Hrvatska	HR03	173	14	50	3
Kontinentalna Hrvatska	HR04	174	14	50	3
Budapest	HU11	175	15	50	3
Pest	HU12	176	15	50	3
Közép-Dunántúl	HU21	177	15	50	3
Nyugat-Dunántúl	HU22	178	15	50	3
Dél-Dunántúl	HU23	179	15	50	3
Észak-Magyarország	HU31	180	15	50	3
Észak-Alföld	HU32	181	15	50	3
Dél-Alföld	HU33	182	15	50	3
Northern and Western	IE04	183	16	50	3
Southern	IE05	184	16	50	3
Eastern and Midland	IE06	185	16	50	3
Piemonte	ITC1	186	17	50	3
Valle d’Aosta/Vallée d’Aoste	ITC2	187	17	50	3
Liguria	ITC3	188	17	50	3
Lombardia	ITC4	189	17	50	3
Abruzzo	ITF1	190	17	50	3
Molise	ITF2	191	17	50	3
Campania	ITF3	192	17	50	3
Puglia	ITF4	193	17	50	3
Basilicata	ITF5	194	17	50	3
Calabria	ITF6	195	17	50	3
Sicilia	ITG1	196	17	50	3
Sardegna	ITG2	197	17	50	3
Provincia Autonoma di Bolzano/Bozen	ITH1	198	17	50	3
Provincia Autonoma di Trento	ITH2	199	17	50	3
Veneto	ITH3	200	17	50	3
Friuli-Venezia Giulia	ITH4	201	17	50	3
Emilia-Romagna	ITH5	202	17	50	3
Toscana	ITI1	203	17	50	3
Umbria	ITI2	204	17	50	3
Marche	ITI3	205	17	50	3
Lazio	ITI4	206	17	50	3
Sostinės regionas	LT01	207	18	50	3
Vidurio ir vakarų Lietuvos regionas	LT02	208	18	50	3
Luxembourg	LU00	209	19	50	3
Latvija	LV00	210	20	50	3
Malta	MT00	211	21	50	3
Groningen	NL11	212	22	50	3
Friesland (NL)	NL12	213	22	50	3
Drenthe	NL13	214	22	50	3
Overijssel	NL21	215	22	50	3
Gelderland	NL22	216	22	50	3
Flevoland	NL23	217	22	50	3
Utrecht	NL31	218	22	50	3
Noord-Holland	NL32	219	22	50	3
Zuid-Holland	NL33	220	22	50	3
Zeeland	NL34	221	22	50	3
Noord-Brabant	NL41	222	22	50	3
Limburg (NL)	NL42	223	22	50	3
Małopolskie	PL21	224	23	50	3
Śląskie	PL22	225	23	50	3
Wielkopolskie	PL41	226	23	50	3
Zachodniopomorskie	PL42	227	23	50	3
Lubuskie	PL43	228	23	50	3
Dolnośląskie	PL51	229	23	50	3
Opolskie	PL52	230	23	50	3
Kujawsko-pomorskie	PL61	231	23	50	3
Warmińsko-mazurskie	PL62	232	23	50	3
Pomorskie	PL63	233	23	50	3
Łódzkie	PL71	234	23	50	3
Świętokrzyskie	PL72	235	23	50	3
Lubelskie	PL81	236	23	50	3
Podkarpackie	PL82	237	23	50	3
Podlaskie	PL84	238	23	50	3
Warszawski stołeczny	PL91	239	23	50	3
Mazowiecki regionalny	PL92	240	23	50	3
Norte	PT11	241	24	50	3
Algarve	PT15	242	24	50	3
Centro (PT)	PT16	243	24	50	3
Área Metropolitana de Lisboa	PT17	244	24	50	3
Alentejo	PT18	245	24	50	3
Região Autónoma dos Açores	PT20	246	24	50	3
Região Autónoma da Madeira	PT30	247	24	50	3
Nord-Vest	RO11	248	25	50	3
Centru	RO12	249	25	50	3
Nord-Est	RO21	250	25	50	3
Sud-Est	RO22	251	25	50	3
Sud - Muntenia	RO31	252	25	50	3
Bucureşti - Ilfov	RO32	253	25	50	3
Sud-Vest Oltenia	RO41	254	25	50	3
Vest	RO42	255	25	50	3
Stockholm	SE11	256	26	50	3
Östra Mellansverige	SE12	257	26	50	3
Småland med öarna	SE21	258	26	50	3
Sydsverige	SE22	259	26	50	3
Västsverige	SE23	260	26	50	3
Norra Mellansverige	SE31	261	26	50	3
Mellersta Norrland	SE32	262	26	50	3
Övre Norrland	SE33	263	26	50	3
Vzhodna Slovenija	SI03	264	27	50	3
Zahodna Slovenija	SI04	265	27	50	3
Bratislavský kraj	SK01	266	28	50	3
Západné Slovensko	SK02	267	28	50	3
Stredné Slovensko	SK03	268	28	50	3
Východné Slovensko	SK04	269	28	50	3
Tees Valley and Durham	UKC1	270	29	50	3
Northumberland and Tyne and Wear	UKC2	271	29	50	3
Cumbria	UKD1	272	29	50	3
Greater Manchester	UKD3	273	29	50	3
Lancashire	UKD4	274	29	50	3
Cheshire	UKD6	275	29	50	3
Merseyside	UKD7	276	29	50	3
East Yorkshire and Northern Lincolnshire	UKE1	277	29	50	3
North Yorkshire	UKE2	278	29	50	3
South Yorkshire	UKE3	279	29	50	3
West Yorkshire	UKE4	280	29	50	3
Derbyshire and Nottinghamshire	UKF1	281	29	50	3
Leicestershire, Rutland and Northamptonshire	UKF2	282	29	50	3
Lincolnshire	UKF3	283	29	50	3
Herefordshire, Worcestershire and Warwickshire	UKG1	284	29	50	3
Shropshire and Staffordshire	UKG2	285	29	50	3
West Midlands	UKG3	286	29	50	3
East Anglia	UKH1	287	29	50	3
Bedfordshire and Hertfordshire	UKH2	288	29	50	3
Essex	UKH3	289	29	50	3
Inner London — West	UKI3	290	29	50	3
Inner London — East	UKI4	291	29	50	3
Outer London — East and North East	UKI5	292	29	50	3
Outer London — South	UKI6	293	29	50	3
Outer London — West and North West	UKI7	294	29	50	3
Berkshire, Buckinghamshire and Oxfordshire	UKJ1	295	29	50	3
Surrey, East and West Sussex	UKJ2	296	29	50	3
Hampshire and Isle of Wight	UKJ3	297	29	50	3
Kent	UKJ4	298	29	50	3
Gloucestershire, Wiltshire and Bristol/Bath area	UKK1	299	29	50	3
Dorset and Somerset	UKK2	300	29	50	3
Cornwall and Isles of Scilly	UKK3	301	29	50	3
Devon	UKK4	302	29	50	3
West Wales and The Valleys	UKL1	303	29	50	3
East Wales	UKL2	304	29	50	3
North Eastern Scotland	UKM5	305	29	50	3
Highlands and Islands	UKM6	306	29	50	3
Eastern Scotland	UKM7	307	29	50	3
West Central Scotland	UKM8	308	29	50	3
Southern Scotland	UKM9	309	29	50	3
Northern Ireland	UKN0	310	29	50	3
